Name,Country_ of_Registry,Country_of_Operator,Users,Purpose,Class_of_Orbit,Launch_Mass,Date_of_Launch,Launch_Site,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superbird 7 (Superbird C2),Japan,Japan,Commercial,Communications,LEO,"5,000",8/14/08,Guiana Space Center,"28 Ku-band transponders to provide internet and television services to Japan, East Asia, and the Pacific region.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INMARSAT 4 F3,United Kingdom,United Kingdom,Commercial,Communications,GEO,"5,960",8/18/08,Baikonur Cosmodrome,"200 spot-beams to relay messages from mobile phones based on land, sea, or air.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RapidEye-1 (RapidEye-C),Germany,Germany,Commercial,Earth Observation,LEO,175,8/29/08,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RapidEye-2 (RapidEye A),Germany,Germany,Commercial,Earth Observation,LEO,175,8/29/08,Baikonur Cosmodrome,"Each satellite captures multi-wavelength images in five bands covering 400-850 nm. 6.5m resolution images, sold to agricultural, forestry and town-planning enterprises.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RapidEye-3 (RapidEye D),Germany,Germany,Commercial,Earth Observation,LEO,175,8/29/08,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RapidEye-4 (RapidEye E),Germany,Germany,Commercial,Earth Observation,LEO,175,8/29/08,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RapidEye-5 (RapidEye B),Germany,Germany,Commercial,Earth Observation,LEO,175,8/29/08,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-1A (Huan Jing 1A),China,China,Government,Earth Observation,GEO,470,9/5/08,Taiyuan Launch Center,Monitors environment and natural disasters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJ-1B (Huan Jing 1B),China,China,Government,Earth Observation,LEO,470,9/5/08,Taiyuan Launch Center,Monitors environment and natural disasters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 (Orbview 5),USA,USA,Commercial/Government,Earth Observation,GEO,"1,955",9/6/08,Vandenberg AFB,"Remote sensing for both commercial customers and the National Geospatial-Intelligence Agency (NGA), GeoEye-1 is capable of acquiring image data at 0.41 meter panchromatic and 1.65 meter multispectral resolution. Experienced an antenna anomaly in 12/09.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nimiq 4,Canada,Canada,Commercial,Communications,GEO,"4,850",9/19/08,Baikonur Cosmodrome,"Television broadcast;  32 Ku-band, 8 Ka-band.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy-19,USA,USA,Commercial,Communications,LEO,"4,690",9/24/08,Sea Launch Odyssey,"50-state coverage, in addition to reaching the Caribbean, Canada and Mexico, to video, government and network customers. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THEOS (Thailand Earth Observation System),Thailand,Thailand,Government,Earth Observation,GEO,750,10/1/08,Dombarovsky Air Base,"Panchromatic imager with 2M resolution; applications in cartography, land use, agricultural monitoring, forestry management, coastal zone monitoring and flood risk management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interstellar Boundary EXplorer (IBEX),USA,USA,Government,Space Science,GEO,462,10/19/08,Kwajalein Island,Monitor the boundary between heliosphere and interstellar medium.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COSMO-Skymed 3 (Constellation of small Satellites for Mediterranean basin Observation),Italy,Italy,Military/Government,Earth Observation,GEO,"1,700",10/25/08,Vandenberg AFB,"Earth imaging; synthetic aperture radar (SAR) operating in X-band, focus on Mediterranean security.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VeneSat 1 (Simon Bolivar),Venezuela/China,Venezuela,Government,Communications,LEO,"5,100",10/29/08,Xichang Satellite Launch Center,"12 C-band, 14 Ku-band transponders.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuangxin 1-2 (Innovation 1-2),China,China,Government,Earth Observation,GEO,101,11/5/08,Jiuquan Satellite Launch Center,Collect and relay hydrological and meteorological data and data for disaster relief.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shiyan 3 (SY3, Experimental Satellite 3)",China,China,Government,Earth Observation,GEO,300,11/5/08,Jiuquan Satellite Launch Center,Experiments on new technologies in atmospheric exploration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astra 1M,Luxembourg,Luxembourg,Commercial,Communications,GEO,"5,345",11/5/08,Baikonur Cosmodrome,Direct-to-home and HD television.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 4 (Remote Sensing Satellite 4),China,China,Government,Earth Observation,LEO,"2,700",12/1/08,Jiuquan Satellite Launch Center,High  resolution  optical satellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciel-2,Canada,Canada,Commercial,Communications,LEO,"5,585",12/10/08,Baikonur Cosmodrome,Digital television; 32 Ku-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M, Eutelsat 48D)",France,Multinational,Commercial,Communications,LEO,"3,460",12/20/08,Guiana Space Center,30 Ku-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat Hot Bird 13C (Hot Bird 9),France,Multinational,Commercial,Communications,LEO,"4,880",12/20/08,Guiana Space Center,64 Ku-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fengyun 2E (FY-2E),China,China,Government,Earth Observation,LEO,"1,390",12/23/08,Xichang Satellite Launch Center,Meteorological; weather forecasting and disaster reduction.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,USA,Military,Earth Observation,LEO,"5,000",1/18/09,Cape Canaveral,ELINT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KKS-1 (Kouku Kousen Satellite One, Kiseki)",Japan,Japan,Civil,Technology Development,LEO,3,1/23/09,Tanegashima Space Center,"Experiments on micro-thrusters, basic experiments on 3-axis attitude control and take land images with a camera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARS-1 Kukai ,NR,Japan,Civil,Technology Development,LEO,7,1/23/09,Tanegashima Space Center,A tethered satellite consisting of a “mother” unit (KU) and a “daughter” unit (KAI). The two satellites are connected via a 5 meter tether to be deployed following deployment. Also carries an amaeur radio package.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOHLA 1 (Space Oriented Higashiosaka Leading Association, Maido 1)",Japan,Japan,Civil,Technology Development,GEO,50,1/23/09,Tanegashima Space Center,Observe lightening.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Greenhouse Gases Observing Satellite (Ibuki, GoSAT)",Japan,Japan,Civil,Earth Observation,GEO,"1,750",1/23/09,Tanegashima Space Center,Observe the concentration and distribution of greenhouse gases across most of the Earth's surface.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOAA-19 (NOAA-N Prime, COSPAS-SARSAT)",USA,USA,Government,Earth Observation,LEO,"1,420",2/6/09,Vandenberg AFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIRALE-A (Système Préparatoire Infra-Rouge pour l'Alerte),France,France,Military,Technology Development,Elliptical,117,2/11/09,Guiana Space Center,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPIRALE-B (Système Préparatoire Infra-Rouge pour l'Alerte),France,France,Military,Technology Development,LEO,117,2/11/09,Guiana Space Center,Demonstration program designed to collect infrared images of terrestrial backgrounds and analyze them to assess the detectability of ballistic missiles during their powered phase. It will pave the way for a future ballistic missile warning system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSS-9,United Kingdom,Netherlands,Commercial,Communications,LEO,"2,238",2/11/09,Guiana Space Center,28 C-band transponders for voice and video communication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Express-AM44,Russia,Russia,Commercial,Communications,LEO,"2,532",2/11/09,Baikonur Cosmodrome,"16 Ku-band; 10 C-band, 1 L-band transponder.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eutelsat Hot Bird  13D (Eutelsat 3C, Hot Bird 10, Atlantic Bird 4A)",France,Multinational,Commercial,Communications,GEO,"4,892",2/11/09,Guiana Space Center,64 Ku-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telstar 11N,NR,Canada,Commercial,Communications,GEO,"4,010",2/26/09,Sea Launch Odyssey,"39 Ku-band transponders; North America, Europe, Africa, across Atlantic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Raduga 1-8 (Raduga 1-M1, Cosmos 2450)",Russia,Russia,Military,Communications,LEO,"2,400",2/28/09,Baikonur Cosmodrome,Military communication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 10A (Eutelsat W-2A),France,Multinational,Commercial,Communications,LEO,"5,900",4/3/09,Baikonur Cosmodrome,"46 Ku-band, 10 C-band transponders, S-band not in service due to anomaly.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wideband Global Satcom 2 (WGS-2, USA 204)",USA,USA,Military,Communications,LEO,"5,987",4/4/09,Cape Canaveral,X and Ka-band transponders. Will replace DSCS system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RISat-2 (Radar Imaging Satellite 2),India,India,Military,Earth Observation,GEO,93,4/20/09,Satish Dhawan Space Centre,First dedicated military surveillance satellite; rushed out after terrorist attack on Mumbai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sicral 1B,Italy,Italy,Military/Commercial,Communications,GEO,"3,038",4/20/09,Sea Launch Odyssey,One third paid for by Telespazio; will use some transponders for approved government customers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yaogan 6 (Remote Sensing Satellite 6, Jian Bing 7-A)",China,China,Government,Earth Observation,GEO,"1,800",4/22/09,Taiyuan Launch Center,"Land resources surveys, etc. (see Yaogan 5). But western military believes it to be a reconnaissance satellite.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SES-7 (Protostar 2, Indostar 2)",NR,USA,Commercial,Communications,GEO,"4,007",5/16/09,Baikonur Cosmodrome,"13 S-band, 27 Ku-band transponders, covers Indonesia, india, Taiwan and the Philippines. Purchased at auction in Dec. 2009 for $185 million.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,Malaysia,Commercial,Communications,GEO,"2,417",6/21/09,Baikonur Cosmodrome,"12 C-band, 12 Ku-band transponders, Asia-Pacific region, Middle East, and Africa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GOES 14 (Geostationary Operational Environmental Satellite, GOES-O)",USA,USA,Government,Earth Observation,LEO,"3,200",6/27/09,Cape Canaveral,Spare.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirius FM-5,USA,USA,Commercial,Communications,LEO,"5,800",6/30/09,Baikonur Cosmodrome,First in geostationary orbit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TerraStar 1,USA,USA,Commercial,Communications,LEO,"6,910",7/1/09,Guiana Space Center,Largest commercial satellite ever built; 18-meter-diameter unfurlable S-band antenna; provide mobile voice and data communications in North America to smartphone-size handsets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2451, Strela 3M)",Russia,Russia,Military,Communications,LEO,280,7/6/09,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodnik (Cosmos 2453, Strela 3M)",Russia,Russia,Military,Communications,LEO,280,7/6/09,Plesetsk Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 3 ,USA,USA/Argentina,Commercial,Communications/Maritime Tracking,GEO,12,7/29/09,Baikonur Cosmodrome,Will provide tracking and data monitoring services for companies with remote or mobile assets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AprizeSat 4 ,USA,USA/Argentina,Commercial,Communications/Maritime Tracking,GEO,12,7/29/09,Baikonur Cosmodrome,Will provide tracking and data monitoring services for companies with remote or mobile assets.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanosat-1B,NR,Spain,Government,Communications/Technology Development,GEO,20,7/29/09,Baikonur Cosmodrome,Technology demonstration and communication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deimos 1,Spain,Spain,Government,Earth Observation,Elliptical,90,7/29/09,Baikonur Cosmodrome,Part of international Disaster Monitoring Constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)",United Kingdom,United Kingdom,Government,Earth Observation,Elliptical,97,7/29/09,Baikonur Cosmodrome,Part of Disaster Monitoring Constellation second generation; five countries share all data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DubaiSat-1,United Arab Emirates,United Arab Emirates,Government,Earth Observation,GEO,200,7/29/09,Baikonur Cosmodrome,"Optical imaging camera; will be used for urban development, scientific research, telecommunications, transportation, construction and mapping, water quality and engineering tests.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AsiaSat-5,China,China,Commercial,Communications,GEO,"3,760",8/11/09,Baikonur Cosmodrome,"14 Ku-Band, 26 C-band, serving all of Asia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navstar GPS IIR-M-8 (Navstar SVN 50, PRN 05, USA 206)",USA,USA,Military/Commercial,Navigation/Global Positioning,GEO,"2,059",8/17/09,Cape Canaveral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optus D3,Australia,Australia,Commercial,Communications,GEO,"2,501",8/21/09,Guiana Space Center,Direct-to-home tv services to Australia and New Zealand; 24 Ku-band transponders.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JCSat RA (JCSat 12, Japan Communications Satellite 12)",Japan,Japan,Commercial,Communications,LEO,"4,000",8/21/09,Guiana Space Center,Backup for other JCSATs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palapa D1,China,Indonesia,Commercial,Communications,GEO,"4,100",8/31/09,Xichang Satellite Launch Center,"Third stage of rocket put it in a low transfer orbit, but was able to maneuver; reduced service life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nimiq 5,NR,Canada,Commercial,Communications,LEO,"4,745",9/17/09,Baikonur Cosmodrome,32 Ku-band transponders. Full capacity leased to Echostar Corporation for life of satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BeeSat-1 (Berlin Experimental and Educational Satellite 1),Germany,Germany,Civil,Technology Development,LEO,1,9/23/09,Satish Dhawan Space Centre,Verify the behavior of new micro reaction wheels for picosatellites.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITU-pSAT1 (Istanbul Technical University Picosat-1),NR,Turkey,Civil,Technology Development,GEO,1,9/23/09,Satish Dhawan Space Centre,"Turkey's first university satellite; raise experienced staff on satellite systems in our country, and also to serve as a practical ground for the theoretically equipped graduate and undergraduate students of İTÜ Astronautics Department.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwissCube,NR,Switzerland,Civil,Technology Development,GEO,1,9/23/09,Satish Dhawan Space Centre,Overall SwissCube project development is primarily to educate students in space technologies and space system engineering. Official mission completed; satellite turned over to amateur community.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STSS Demo-1 (Space Tracking and Surveillance System Demonstrator),USA,USA,Military,Technology Development,GEO,"2,240",9/25/09,Cape Canaveral,Use sensors on the two spacecraft to track ballistic missiles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STSS Demo-2 (Space Tracking and Surveillance System Demonstrator),USA,USA,Military,Technology Development,GEO,"2,240",9/25/09,Cape Canaveral,Dathfinusrs for Missile Defense Ggency's 200 Capellite LEO minstellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMSATBw-1 (COmmunications SATellite für BundesWehr),Germany,Germany,Military,Communications,GEO,"2,440",10/1/09,Guiana Space Center,Germany's first military communications satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas-2,Brazil,Spain,Commercial,Communications,LEO,"5,465",10/1/09,Guiana Space Center,"54 Ku-band, 10 C-band transponders; North, Central and South America.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldview 2,USA,USA,Commercial,Earth Observation,LEO,"2,800",10/8/09,Vandenberg AFB,Will provide earth imaging  in eight color bands; 0.5 m resolution for panchromatic images and 1.8 m for multi-spectral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA,USA,Military,Earth Observation,LEO,"1,155",10/18/09,Vandenberg AFB,Near-polar orbits; investigate Earth's environment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thor-6,Norway,Norway,Commercial,Communications,LEO,"3,050",10/29/09,Guiana Space Center,36 Ku-band transponders; Central and eastern Europe and Nordic region.,,,,,,,,,,,,,,,,,,,,,,,,,http://www.orbcomm.com,http://nssdc.gsfc.nasa.gov/spacewarn/spx554.html,http://perso.wanadoo.fr/eurospace/espdatabase/S1119.html,,,,JMSatcat803
Proba 2 (Project for On-Board Autonomy),ESA,ESA,Government,Technology Demonstration,LEO,130,11/2/09,Plesetsk Cosmodrome,Technology demonstration of 17 advanced satellite technologies; will perform 4 experiments.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMOS (Soil Moisture and Ocean Salinity satellite),ESA,ESA,Government,Earth Observation,LEO,658,11/2/09,Plesetsk Cosmodrome,Mission to measure sea surface salinity and soil moisture on a global scale.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotos-S1 (Cosmos 2455),Russia,Russia,Military,Earth Observation,LEO,"5,000",11/20/09,Plesetsk Cosmodrome,"New generation electronic reconnaissance satellite, possibly will work as part of the Liana electronic reconnaissance system. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intelsat 14 (IS-14),USA,USA,Commercial,Communications,LEO,"5,613",11/23/09,Cape Canaveral,"62 transponders, North and South America, Africa and Europe; will also carry an experiment for the US Department of Defense. Internet Routing in Space, or IRIS, is a technology demonstration project which will allow the satellite to perform IP routing rather than requiring a ground station to do so.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutelsat 36B (Eutelsat W-7),France,Multinational,Commercial,Communications,GEO,"5,600",11/24/09,Baikonur Cosmodrome,"70 Ku-band transponders; serving Europe, Russia, Africa, Middle East and Central Asia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"IGS-5A (Information Gathering Satellite 5A, IGS Optical 3)",Japan,Japan,Government,Earth Observation,MEO,"1,600",11/28/09,Tanegashima Space Center,Optical reconnaissance.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Intelsat 15 (IS-15, JCSat 85)",USA,USA,Commercial,Communications,GEO,"2,550",11/30/09,Baikonur Cosmodrome,"Will replace Intelsat 709; 22 Ku-band transponders; Data and video for customers in Russisa, the Middle East and Indian ocean area. Five transponders are directly owned by Sky Perfect JSAT Corp.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wideband Global Satcom 3 (WGS-3, USA 211)",USA,USA,Military,Communications,GEO,"5,990",12/6/09,Cape Canaveral,X and Ka-band transponders. Will replace DSCS system.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaogan 7 (Remote Sensing Satellite 7),China,China,Government,Earth Observation,GEO,"2,700",12/9/09,Jiuquan Satellite Launch Center,High  resolution  optical satellite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 730 (Glonass 41-1, Cosmos 2456)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,GEO,"1,415",12/14/09,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 733 (Glonass 41-2, Cosmos 2457)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,GEO,"1,415",12/14/09,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glonass 734 (Glonass 41-3, Cosmos 2458)",Russia,Russia,Military/Commercial,Navigation/Global Positioning,LEO,"1,415",12/14/09,Baikonur Cosmodrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"XW-1 (Hope Oscar 68, HO-68, Xi Wang 1, Hope-1, CAS-1)",China,China,Civil,Communications,LEO,60,12/15/09,Taiyuan Launch Center,China's first amateur satellite.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helios 2B,France,France/Italy/Belgium/Spain/Greece,Military,Earth Observation,LEO,"4,200",12/18/09,Guiana Space Center,"Optical reconnaissance, independent military intelligence capability for the EU (France has financed 90% of the B series).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DirecTV-12,USA,USA,Commercial,Communications,LEO,"5,900",12/29/09,Baikonur Cosmodrome,High-definition for North America.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beidou G1 (Compass G-1),China,China,Military/Government,Navigation/Global Positioning,LEO,"2,200",1/16/10,Xichang Satellite Launch Center,Part of Beidou constellation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raduga 1-M2 (Raduga 1-9),Russia,Russia,Military,Communications,GEO,"2,500",1/28/10,Baikonur Cosmodrome,Military communication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDO (Solar Dynamics Observatory),USA,USA,Government,Space Science,GEO,"3,100",2/11/10,Cape Canaveral,"Carries three instruments to study the Sun at high time and spatial resolution: HMI, AIA, and EVE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
